Hour,Buyer/Seller,Gmin [Wh],Gmax [Wh],Dmin [Wh],Dmax [Wh],w,z
31,4,0,1961,0,1575,2,2
32,4,0,1838,0,1874,4,2
33,4,0,1068,0,2361,1,2
34,4,0,433,0,2985,1,2
35,4,0,142,0,3189,4,2
36,4,0,0,0,2550,2,2
37,4,0,0,0,2302,2,2
38,4,0,0,0,1864,3,2
39,4,0,0,0,1528,2,2
40,4,0,0,0,1470,4,2
41,4,0,0,0,1306,2,2
42,4,0,0,0,1290,3,2
43,4,0,0,0,1274,4,2
44,4,0,0,0,934,2,2
45,4,0,0,0,1065,3,2
46,4,0,0,0,897,1,2
47,4,0,0,0,1285,4,2
48,4,0,0,0,1119,3,2
49,4,0,112,0,644,2,2
50,4,0,311,0,862,2,2
51,4,0,683,0,1088,1,2
52,4,0,1290,0,1138,4,2
53,4,0,1785,0,1040,1,2
54,4,0,1599,0,1377,3,2
55,4,0,1908,0,1619,1,2
56,4,0,1868,0,2236,1,2
57,4,0,968,0,2468,3,2
58,4,0,519,0,2722,1,2
59,4,0,188,0,3202,2,2
60,4,0,0,0,2828,3,2
61,4,0,0,0,2130,2,2
62,4,0,0,0,1940,1,2
63,4,0,0,0,1390,1,2
64,4,0,0,0,1476,1,2
65,4,0,0,0,1324,1,2
66,4,0,0,0,1313,2,2
67,4,0,0,0,1104,4,2
68,4,0,0,0,993,4,2
69,4,0,0,0,870,3,2
70,4,0,0,0,915,1,2
71,4,0,0,0,904,3,2
72,4,0,3,0,842,4,2
73,4,0,89,0,725,1,2
74,4,0,206,0,898,1,2
75,4,0,524,0,991,1,2
76,4,0,1161,0,1008,4,2
77,4,0,1549,0,1223,4,2
78,4,0,1889,0,1415,1,2
79,4,0,1715,0,1501,4,2
80,4,0,1612,0,1929,2,2
81,4,0,1403,0,2542,3,2
82,4,0,363,0,2710,1,2
83,4,0,146,0,3221,4,2
84,4,0,0,0,2557,4,2
85,4,0,0,0,2159,4,2
86,4,0,0,0,1784,3,2
87,4,0,0,0,1811,3,2
88,4,0,0,0,1305,4,2
89,4,0,0,0,1254,3,2
90,4,0,0,0,1236,4,2
91,4,0,0,0,1038,2,2
92,4,0,0,0,1100,3,2
93,4,0,0,0,881,1,2
94,4,0,0,0,1008,3,2
95,4,0,0,0,849,1,2
96,4,0,0,0,1023,1,2
97,4,0,75,0,677,4,2
98,4,0,320,0,910,2,2
99,4,0,676,0,1332,3,2
100,4,0,1135,0,1048,3,2
101,4,0,1652,0,1194,3,2
102,4,0,1799,0,1546,1,2
103,4,0,1922,0,1890,1,2
104,4,0,1720,0,2125,4,2
105,4,0,1045,0,2848,3,2
106,4,0,424,0,3110,4,2
107,4,0,126,0,3077,4,2
108,4,0,0,0,2670,3,2
109,4,0,0,0,2056,3,2
110,4,0,0,0,1641,3,2
